"topic_term","pandora_topic_id","_col2"
"occupational therapy","TP:170063","320"
"LeBron James","TP:28888","320"
"Caity Babs (SiriusXM Host)","TP:103152","320"
"Chicago Cubs","TP:83402","319"
"Ranger Doug","TP:106560","319"
"Anthony Herron","TP:58302","318"
"conspiracy theories","TP:28140","318"
"auto racing","TP:28278","317"
"Minnesota Twins","TP:83391","316"
"Julie James (SiriusXM Host)","TP:103161","314"
"alternative health","TP:28268","311"
"Robert Aubry Davis","TP:103131","311"
"Atlanta Hawks","TP:80370","309"
"will.i.am","TP:107170","309"
"Elvis Presley","TP:109291","308"
"Pittsburgh Sports","TP:29198","307"
"Cleveland Cavaliers","TP:39049","307"
"Las Vegas Raiders","TP:83657","304"
"Dave Koz","TP:109238","304"
"FYIona (AI)","TP:137655","303"
"Oklahoma City Thunder","TP:83599","303"
"Chris Doering","TP:70576","302"
"Tommy Dreamer","TP:34869","300"
"happiness","TP:29352","300"
"Dwight Yoakam","TP:111801","300"
"Toronto Blue Jays","TP:83307","300"
"Keith Costigan","TP:69038","299"
"Stanley Cup Playoffs","TP:139042","298"
"A Martinez","TP:45885","297"
"entertainment news","TP:30988","295"
"video games","TP:28325","294"
"Nancy Grace","TP:33069","294"
"Too Short","TP:110043","294"
"AEW","TP:136052","290"
"Rich Davis (SiriusXM Host)","TP:103132","289"
"Justin Bell","TP:46448","288"
"Jenna Bush Hager","TP:31233","287"
"WWE","TP:28427","283"
"Sci-Fi & Fantasy Film","TP:28143","282"
"Phoenix Suns","TP:83299","282"
"David Gans","TP:44375","280"
"Tommy James","TP:107491","278"
"Toronto Raptors","TP:39053","278"
"Dave Matthews Band","TP:111805","278"
"Gary Lambert (SiriusXM Host)","TP:117830","277"
"Pittsburgh Pirates","TP:83395","276"
"Shannon Sharpe","TP:33306","276"
"Tom Rennie (broadcaster)","TP:103172","273"
"Billy Joel","TP:109631","273"
"San Diego Padres","TP:83312","271"
"Ben Hartsock","TP:69633","271"
"Bruce Springsteen","TP:106511","270"
"US politics","TP:144054","267"
"Dylan Dreyer","TP:48077","266"
"Musica y Entretenimiento","TP:28060","266"
"Pope Leo XIV","TP:270334","265"
"MarySue Twohy","TP:113032","265"
"Mike Stanton (left-handed pitcher)","TP:48935","264"
"Craig Melvin","TP:43477","263"
"Mark Henry","TP:33109","263"
"MS NOW","TP:219042","263"
"Los Angeles Rams","TP:38958","262"
"Savannah Guthrie","TP:31792","262"
"Jacob Hester","TP:69776","261"
"Paul Finebaum","TP:32048","261"
"US Immigration and Customs Enforcement","TP:157204","260"
"Yellowstone (TV)","TP:38854","260"
"Jose Mangin (SiriusXM Host)","TP:103250","259"
"Steve Covino","TP:105066","258"
"WrestleMania","TP:128281","258"
"fitness","TP:28066","255"
"Peter Noone","TP:66207","254"
"Morning Talk Shows","TP:29156","254"
"Strait of Hormuz","TP:278793","254"
"true crime history","TP:29281","253"
"Philadelphia Eagles","TP:83318","252"
"Brian Dunseth","TP:103173","251"
"Dan Patrick","TP:32460","250"
"Spyder Harrison","TP:103269","249"
"Tom Morello","TP:110428","249"
"Mikey Piff (SiriusXM Host)","TP:103282","248"
"Dave LaGreca","TP:103352","246"
"New Age Spirituality","TP:29084","246"
"Los Angeles Angels","TP:56802","244"
"Fernando Mendoza","TP:218473","244"
"Atlantic Coast Conference","TP:85771","243"
"San Francisco Bay Area Sports","TP:29134","243"
"Victor Wembanyama","TP:123118","242"
"Milwaukee Brewers","TP:83379","241"
"Sam Roberts (SiriusXM Host)","TP:47936","240"
"crimes","TP:139308","240"
"Manchester City F.C.","TP:86642","239"
"Arizona Cardinals","TP:83271","239"
"Cody Rhodes","TP:31837","239"
"Bloomberg News","TP:236829","238"
"fantasy baseball","TP:28263","238"
"Frank Isola","TP:41275","237"
"Big Ten","TP:87787","237"
"Roman Reigns","TP:136186","236"
"Kevin Kennedy (baseball)","TP:59477","236"
"John Hill","TP:103406","235"
"Jim Memolo (SiriusXM Host)","TP:103298","235"
"West Wilson","TP:259404","235"
"Tommy London","TP:111224","234"
"Jeff Joyce (SiriusXM Host)","TP:116031","233"
"Women in Business","TP:28132","232"
"Comedy Central","TP:97358","231"
"Unwell Network","TP:189903","231"
"Detroit Tigers","TP:83293","229"
"Amy Robach","TP:54936","228"
"March Madness","TP:39352","228"
"Cincinnati Reds","TP:83414","227"
"Baltimore Orioles","TP:83279","227"
"Ania Hammar","TP:105045","226"
"T. J. Holmes","TP:50322","226"
"Ken Coleman","TP:33695","224"
"Pearl Jam","TP:108111","223"
"Washington Commanders","TP:38983","223"
"Dave Matthews","TP:109121","222"
"Philadelphia Flyers","TP:83314","222"
"Seattle Mariners","TP:83291","221"
"Buddhism","TP:28282","221"
"Howard Stern","TP:31359","221"
"Eric Church","TP:108007","221"
"Bob Marley","TP:110939","219"
"Kristine Stone (SiriusXM Host)","TP:103648","218"
"Amanda Batula","TP:152573","218"
"Danielle Peck","TP:107781","218"
"Montreal Canadiens","TP:83283","217"
"daily fantasy sports","TP:28477","217"
"Talladega Superspeedway","TP:139061","217"
"Golden State Warriors","TP:83404","215"
"Robert Brender","TP:119711","215"
"JT The Brick (SiriusXM Host)","TP:103341","215"
"Stephen A. Smith","TP:33326","214"
"MeidasTouch","TP:2016540","214"
"Peter Asher","TP:71010","213"
"Diplo","TP:112329","212"
"Colorado Avalanche","TP:83378","211"
"Black Voices in Comedy","TP:29190","211"
"Bravo","TP:121140","211"
"Jonathan Hood","TP:120717","211"
"WNYC Studios","TP:147025","209"
"Frank Sinatra","TP:106334","209"
"2026 United States elections","TP:270503","208"
"dating","TP:28382","207"
"Brendon de Jonge","TP:118899","207"
"Rachel Steele (SiriusXM Host)","TP:104173","206"
"Kelsie Herzog","TP:238210","206"
"Evan Real","TP:204677","206"
"Laura Schlessinger","TP:33274","206"
"Julia Cunningham","TP:103137","206"
"Joe Ceraulo","TP:254909","205"
"Arizona Diamondbacks","TP:83305","205"
"Seattle Seahawks","TP:83292","204"
"Brian Scalabrine","TP:33149","204"
"BBQ cooking","TP:28274","204"
"Danny Murphy (podcaster)","TP:259399","203"
"CBS Sports","TP:97352","203"
"Swaggy Sie (SiriusXM Host)","TP:103348","203"
"San Francisco 49ers","TP:38960","201"
"Los Angeles Kings","TP:83415","200"
"Houston Astros","TP:83397","200"
"Athletics (baseball)","TP:83315","200"
"Pete Pistone","TP:103151","199"
"Portland Trail Blazers","TP:83602","198"
"Sean Hannity","TP:31637","198"
"New York Post","TP:149121","197"
"new music","TP:142553","197"
"Outdoor Adventure","TP:28305","196"
"Pat McAfee","TP:31548","196"
"Alex Cooper","TP:116477","196"
"Tom Byrne (SiriusXM Host)","TP:103340","196"
"Charlie Stillitano","TP:103232","195"
"Dallas Cowboys","TP:83304","195"
"Peter Burns (sportscaster)","TP:103893","194"
"Dave Moody","TP:103111","194"
"ice hockey","TP:135612","194"
"Robert Kelly (comedian)","TP:110537","192"
"Mark Strigl (SiriusXM Host)","TP:105057","192"
"trucking issues","TP:177108","192"
"Rodney Marsh","TP:60506","192"
"Lisa Loeb","TP:111607","191"
"Page Six","TP:149493","191"
"Shannon Gunz","TP:105052","190"
"Elvis Duran","TP:35517","190"
"Jason Sobel","TP:116041","190"
"Shane Douglas","TP:37248","189"
"A. J. McLean","TP:211478","189"
"Chelsea F.C.","TP:86562","189"
"redistricting","TP:142368","189"
"Charlotte Hornets","TP:39054","189"
"trucking culture","TP:140747","188"
"Buzz Brainard","TP:102876","188"
"FIFA World Cup","TP:86628","188"
"Steve Harvey","TP:109984","187"
"COVID-19","TP:28073","186"
"Miami Marlins","TP:83388","185"
"Randy Orton","TP:31454","185"
"Richard Blade (SiriusXM Host)","TP:63052","185"
"New York Islanders","TP:83398","185"
"Ryan Sampson (SiriusXM Host)","TP:41584","184"
"Ufology","TP:29019","184"
"Lauren Sánchez","TP:245726","183"
"Chris Cantalini (SiriusXM Host)","TP:103156","183"
"San Francisco Giants","TP:83289","183"
"Pat Kirwan","TP:70405","182"
"New England Patriots","TP:83280","182"
"Brad Gillie","TP:103913","181"
"Big Jay Oakerson","TP:110198","181"
"Glenn Crooks (SiriusXM Host)","TP:103222","181"
"Dave Dwyer","TP:103107","181"
"Kansas City Chiefs","TP:38961","179"
"Edmonton Oilers","TP:83303","179"
"For Kids","TP:28400","179"
"Minneapolis Sports","TP:29197","179"
"DC Sports","TP:29201","178"
"Greg Gutfeld","TP:34656","178"
"Tampa Bay Rays","TP:83286","178"
"Tony Meola","TP:47561","178"
"New York Rangers","TP:83401","177"
"Trevor May","TP:41031","177"
"Buffalo Sabres","TP:83290","177"
"Marc Benecke (SiriusXM Host)","TP:116222","177"
"Liza Fromer","TP:241747","177"
"Dave McCarthy (SiriusXM host)","TP:103897","176"
"Vicky Sparks","TP:241746","176"
"LL Cool J","TP:112090","176"
"Los Angeles Clippers","TP:84622","176"
"gerrymandering","TP:143742","175"
"The Bible","TP:183050","175"
"Minnesota Wild","TP:83394","175"
"Carson Daly","TP:104030","174"
"Miami Heat","TP:39043","173"
"Pitbull","TP:112243","173"
"Chris Spatola (SiriusXM Host)","TP:103143","173"
"Nicole Ryan","TP:103265","173"
"Terry Gross","TP:32801","172"
"Scottie Scheffler","TP:31339","172"
"Sheinelle Jones","TP:103092","172"
"Rory McIlroy","TP:35594","172"
"Ciara Miller","TP:260987","172"
"Don Was","TP:34060","171"
"Michael Smerconish","TP:33020","171"
"travel","TP:28324","171"
"Artemis II","TP:2028202","169"
"David Fricke","TP:71001","169"
"Joel Embiid","TP:28967","169"
"Ryan Spilborghs","TP:116363","169"
"Carolina Hurricanes","TP:83381","168"
"freight","TP:143068","168"
"Carl Paulson","TP:69612","167"
"Jon Weiner","TP:103434","167"
"Sean Hayes","TP:37629","167"
"Minnesota Vikings","TP:83317","167"
"Infrastructure & Public Works","TP:29280","166"
"Mark Dominik","TP:45213","166"
"Jeff Mans (SiriusXM Host)","TP:103264","166"
"Milwaukee Bucks","TP:39051","166"
"Stanley T. Evans","TP:103267","166"
"Christine Marie Evans","TP:192138","165"
"C. J. Nitkowski","TP:116409","165"
"fuel costs","TP:180365","165"
"Mike Florio","TP:31619","165"
"Cleveland Guardians","TP:83399","165"
"Chris Jones (radio)","TP:218086","165"
"Chris ""Mad Dog"" Russo","TP:35738","164"
"Green Bay Packers","TP:38956","164"
"Charlie Kirk","TP:31717","164"
"Vanderpump Rules (series)","TP:38955","164"
"Ned Luberecki","TP:107568","164"
"Eddie Trunk (SiriusXM Host)","TP:41860","163"
"Liverpool F.C.","TP:86617","163"
"Karen Moskow","TP:103810","163"
"Kansas City Royals","TP:83601","162"
"Justin Gage (SiriusXM Host)","TP:103154","162"
"Mike Vrabel","TP:32616","162"
"Cincinnati Bengals","TP:38959","161"
"Will Arnett","TP:34631","161"
"Madison (SiriusXM Host)","TP:103211","161"
"Texas Rangers (baseball)","TP:83595","161"
"Boston Bruins","TP:83600","160"
"A. J. Ramos","TP:136749","160"
"NASCAR Cup Series","TP:122845","160"
"Jason Bateman","TP:36647","159"
"Chicago Bulls","TP:39044","159"
"Pittsburgh Penguins","TP:83652","159"
"evangelism","TP:246481","159"
"Alan Seslowsky (SiriusXM Host)","TP:103228","159"
"Chris Childers (SiriusXM Host)","TP:116215","159"
"Chicago White Sox","TP:83407","158"
"Jordy Meiselas","TP:154256","158"
"Ben Meiselas","TP:152755","158"
"Brett Meiselas","TP:154257","158"
"Brad Lidge","TP:45486","158"
"Kevin Frandsen","TP:70420","158"
"Trace Adkins","TP:111958","157"
"FC Bayern Munich","TP:86639","157"
"Colorado Rockies","TP:83384","157"
"Shane Malloy (SiriusXM Host)","TP:103915","157"
"Steve Kouleas","TP:103226","156"
"Lester Holt","TP:34871","156"
"Tennessee Titans","TP:83296","156"
"astronomy","TP:28277","156"
"Jeannie Seely","TP:108626","156"
"comic books","TP:29024","155"
"Scott Van Pelt","TP:38781","155"
"Nikola Jokić","TP:28841","154"
"Tim Stenovec","TP:103674","154"
"Tim Miller (political strategist)","TP:98053","154"
"Los Angeles Chargers","TP:38918","154"
"Joey Black (SiriusXM Host)","TP:120714","153"
"Carol Massar","TP:103673","153"
"Doug Budin","TP:117044","153"
"Eric Swalwell","TP:33473","153"
"Cade Cunningham","TP:32532","152"
"tariffs","TP:140380","152"
"Prank Comedy","TP:29147","152"
"Morning Mash Up","TP:124617","151"
"Ty Simpson","TP:271966","151"
"Disney World","TP:28410","151"
"Jamison Scala","TP:118325","149"
