"pandora_topic_id","topic_term","cnt"
"TP:36376","Ted Turner","73"
"TP:107962","Steven Van Zandt","73"
"TP:43078","Jim Bowden","72"
"TP:30996","Hip Hop History","72"
"TP:48935","Mike Stanton (left-handed pitcher)","71"
"TP:83301","New York Mets","71"
"TP:58302","Anthony Herron","71"
"TP:83304","Dallas Cowboys","71"
"TP:28840","Jaylen Brown","71"
"TP:278793","Strait of Hormuz","70"
"TP:83394","Minnesota Wild","70"
"TP:83378","Colorado Avalanche","70"
"TP:70576","Chris Doering","70"
"TP:103154","Justin Gage (SiriusXM Host)","69"
"TP:108892","John Mayer","69"
"TP:270334","Pope Leo XIV","69"
"TP:103161","Julie James (SiriusXM Host)","68"
"TP:109238","Dave Koz","68"
"TP:106560","Ranger Doug","68"
"TP:106710","Carrie Underwood","68"
"TP:116021","Bully Ray","68"
"TP:110428","Tom Morello","67"
"TP:31233","Jenna Bush Hager","67"
"TP:29188","Comedy Talk & Opinion","67"
"TP:39053","Toronto Raptors","67"
"TP:28325","video games","67"
"TP:28092","Catholic culture","67"
"TP:83409","Boston Red Sox","66"
"TP:83414","Cincinnati Reds","66"
"TP:103132","Rich Davis (SiriusXM Host)","65"
"TP:103131","Robert Aubry Davis","65"
"TP:85768","Andy Cohen","65"
"TP:103250","Jose Mangin (SiriusXM Host)","65"
"TP:113032","MarySue Twohy","65"
"TP:181749","hantavirus","65"
"TP:39037","Summer House (series)","65"
"TP:83396","Los Angeles Dodgers","65"
"TP:31861","Jalen Brunson","64"
"TP:69633","Ben Hartsock","64"
"TP:118553","PGA Tour","64"
"TP:270503","2026 United States elections","64"
"TP:28278","auto racing","64"
"TP:83290","Buffalo Sabres","64"
"TP:69776","Jacob Hester","64"
"TP:103173","Brian Dunseth","63"
"TP:71001","David Fricke","63"
"TP:83382","Philadelphia Phillies","62"
"TP:83395","Pittsburgh Pirates","62"
"TP:29196","Denver Sports","62"
"TP:83295","New York Jets","62"
"TP:82035","college football","62"
"TP:29352","happiness","62"
"TP:33038","Hoda Kotb","62"
"TP:28140","conspiracy theories","62"
"TP:83379","Milwaukee Brewers","61"
"TP:28895","Aaron Rodgers","61"
"TP:110043","Too Short","61"
"TP:38973","New York Giants (football)","61"
"TP:28075","celebrity interviews","60"
"TP:180365","fuel costs","60"
"TP:29084","New Age Spirituality","60"
"TP:31359","Howard Stern","60"
"TP:142461","summer","60"
"TP:33306","Shannon Sharpe","59"
"TP:83288","Vegas Golden Knights","59"
"TP:48077","Dylan Dreyer","59"
"TP:108007","Eric Church","58"
"TP:117830","Gary Lambert (SiriusXM Host)","58"
"TP:28132","Women in Business","58"
"TP:103282","Mikey Piff (SiriusXM Host)","58"
"TP:105889","Blake Lively","58"
"TP:28066","fitness","58"
"TP:44375","David Gans","58"
"TP:29198","Pittsburgh Sports","58"
"TP:83279","Baltimore Orioles","58"
"TP:32048","Paul Finebaum","57"
"TP:112922","U2","57"
"TP:33069","Nancy Grace","57"
"TP:103269","Spyder Harrison","55"
"TP:105066","Steve Covino","55"
"TP:28305","Outdoor Adventure","55"
"TP:28282","Buddhism","55"
"TP:91312","classic radio","54"
"TP:103111","Dave Moody","54"
"TP:103648","Kristine Stone (SiriusXM Host)","54"
"TP:38952","voting rights","54"
"TP:83276","Baltimore Ravens","53"
"TP:157204","US Immigration and Customs Enforcement","53"
"TP:71010","Peter Asher","53"
"TP:111224","Tommy London","52"
"TP:106334","Frank Sinatra","52"
"TP:103172","Tom Rennie (broadcaster)","52"
"TP:29272","New York News & Politics","52"
"TP:111805","Dave Matthews Band","52"
"TP:104173","Rachel Steele (SiriusXM Host)","52"
"TP:86730","UEFA Champions League","52"
"TP:2029079","The Devil Wears Prada 2","52"
"TP:33149","Brian Scalabrine","51"
"TP:103298","Jim Memolo (SiriusXM Host)","51"
"TP:136052","AEW","51"
"TP:107781","Danielle Peck","51"
"TP:43477","Craig Melvin","51"
"TP:84620","Houston Rockets","51"
"TP:32460","Dan Patrick","51"
"TP:83286","Tampa Bay Rays","51"
"TP:121140","Bravo","51"
"TP:144014","economy","50"
"TP:83318","Philadelphia Eagles","50"
"TP:31792","Savannah Guthrie","50"
"TP:84870","Denver Nuggets","50"
"TP:28905","Jayson Tatum","50"
"TP:28472","Formula 1","50"
"TP:41275","Frank Isola","50"
"TP:33109","Mark Henry","50"
"TP:103265","Nicole Ryan","50"
"TP:103406","John Hill","50"
"TP:46448","Justin Bell","50"
"TP:103092","Sheinelle Jones","50"
"TP:29024","comic books","49"
"TP:30988","entertainment news","49"
"TP:119058","midterm elections","49"
"TP:41584","Ryan Sampson (SiriusXM Host)","49"
"TP:28274","BBQ cooking","49"
"TP:139090","Kentucky Derby","49"
"TP:116031","Jeff Joyce (SiriusXM Host)","49"
"TP:238210","Kelsie Herzog","49"
"TP:83292","Seattle Seahawks","49"
"TP:83397","Houston Astros","49"
"TP:109121","Dave Matthews","49"
"TP:59477","Kevin Kennedy (baseball)","48"
"TP:83293","Detroit Tigers","48"
"TP:86616","Paris Saint-Germain F.C.","48"
"TP:31612","OG Anunoby","48"
"TP:83391","Minnesota Twins","48"
"TP:110744","Kenny Chesney","47"
"TP:45675","Justin Baldoni","47"
